full_name,now_cost,total_points,team_join_date,pos,team_name,GF,GA
David_Raya_Martin,55,142,2024-07-04,GK,Arsenal,69.0,34.0
Kepa_Arrizabalaga_Revuelta,45,106,2025-07-01,GK,Arsenal,69.0,34.0
Karl_Hein,40,0,2020-10-28,GK,Arsenal,69.0,34.0
Tommy_Setford,40,0,2024-07-24,GK,Arsenal,69.0,34.0
Gabriel_dos_Santos_Magalhaes,60,117,2020-09-01,DEF,Arsenal,69.0,34.0
William_Saliba,60,130,2019-07-25,DEF,Arsenal,69.0,34.0
Riccardo_Calafiori,55,39,2024-07-29,DEF,Arsenal,69.0,34.0
Jurrien_Timber,55,114,2023-07-14,DEF,Arsenal,69.0,34.0
Jakub_Kiwior,55,43,2023-01-23,DEF,Arsenal,69.0,34.0
Myles_Lewis_Skelly,55,37,2022-12-04,DEF,Arsenal,69.0,34.0
Benjamin_White,55,50,2021-07-30,DEF,Arsenal,69.0,34.0
Oleksandr_Zinchenko,50,40,2022-07-22,DEF,Arsenal,69.0,34.0
Brayden_Clarke,40,0,,DEF,Arsenal,69.0,34.0
Maldini_Kacurri,40,0,,DEF,Arsenal,69.0,34.0
Josh_Nichols,40,0,2024-07-24,DEF,Arsenal,69.0,34.0
Bukayo_Saka,100,127,2018-11-28,MID,Arsenal,69.0,34.0
Martin_Odegaard,80,116,2021-08-20,MID,Arsenal,69.0,34.0
Noni_Madueke,70,120,2025-07-18,MID,Arsenal,69.0,34.0
Gabriel_Martinelli_Silva,70,125,2019-07-15,MID,Arsenal,69.0,34.0
Leandro_Trossard,70,152,2023-01-20,MID,Arsenal,69.0,34.0
Declan_Rice,65,127,2023-07-15,MID,Arsenal,69.0,34.0
Mikel_Merino_Zazon,60,92,2024-08-27,MID,Arsenal,69.0,34.0
Fabio_Ferreira_Vieira,55,0,2022-06-21,MID,Arsenal,69.0,34.0
Christian_Norgaard,55,107,2025-07-10,MID,Arsenal,69.0,34.0
Ethan_Nwaneri,55,66,2022-09-17,MID,Arsenal,69.0,34.0
Martin_Zubimendi_Ibanez,55,0,2025-07-06,MID,Arsenal,69.0,34.0
Reiss_Nelson,50,27,2017-07-12,MID,Arsenal,69.0,34.0
Ismeal_Kabia,45,0,2024-09-14,MID,Arsenal,69.0,34.0
Albert_Sambi_Lokonga,45,0,2021-07-19,MID,Arsenal,69.0,34.0
Kai_Havertz,75,97,2023-06-28,FWD,Arsenal,69.0,34.0
Gabriel_Fernando_de_Jesus,65,42,2022-07-04,FWD,Arsenal,69.0,34.0
Cristhian_Mosquera,55,0,2025-07-24,DEF,Arsenal,69.0,34.0
Viktor_Gyokeres,90,0,2025-07-26,FWD,Arsenal,69.0,34.0
Emiliano_Martinez_Romero,50,111,2020-09-16,GK,Aston Villa,58.0,51.0
Marco_Bizot,45,0,2025-07-15,GK,Aston Villa,58.0,51.0
Joe_Gauci,40,0,2024-02-01,GK,Aston Villa,58.0,51.0
Filip_Marschall,40,0,2021-12-13,GK,Aston Villa,58.0,51.0
Matty_Cash,45,76,2020-09-03,DEF,Aston Villa,58.0,51.0
Lucas_Digne,45,89,2022-01-13,DEF,Aston Villa,58.0,51.0
Ezri_Konsa_Ngoyo,45,103,2019-07-11,DEF,Aston Villa,58.0,51.0
Ian_Maatsen,45,57,2024-06-28,DEF,Aston Villa,58.0,51.0
Tyrone_Mings,45,47,2019-07-08,DEF,Aston Villa,58.0,51.0
Pau_Torres,45,55,2023-07-12,DEF,Aston Villa,58.0,51.0
Andres_Garcia,40,8,2025-01-21,DEF,Aston Villa,58.0,51.0
Alex_Moreno_Lopera,40,34,2023-01-11,DEF,Aston Villa,58.0,51.0
Lamare_Bogarde,40,6,2021-01-07,DEF,Aston Villa,58.0,51.0
Lino_da_Cruz_Sousa,40,0,,DEF,Aston Villa,58.0,51.0
Yasin_Ozcan,40,0,2025-06-01,DEF,Aston Villa,58.0,51.0
Morgan_Rogers,70,161,2024-02-01,MID,Aston Villa,58.0,51.0
Youri_Tielemans,60,121,2023-06-14,MID,Aston Villa,58.0,51.0
Leon_Bailey,55,47,2021-08-04,MID,Aston Villa,58.0,51.0
Emiliano_Buendia_Stati,55,11,2021-06-10,MID,Aston Villa,58.0,51.0
Samuel_Iling_Junior,55,0,2024-07-01,MID,Aston Villa,58.0,51.0
Jacob_Ramsey,55,66,2019-02-12,MID,Aston Villa,58.0,51.0
Donyell_Malen,55,34,2025-01-14,MID,Aston Villa,58.0,51.0
John_McGinn,55,78,2018-08-08,MID,Aston Villa,58.0,51.0
Ross_Barkley,50,44,2024-07-01,MID,Aston Villa,58.0,51.0
Enzo_Barrenechea,50,0,,MID,Aston Villa,58.0,51.0
Lewis_Dobbin,50,0,2024-06-23,MID,Aston Villa,58.0,51.0
Boubacar_Kamara,50,57,2022-06-11,MID,Aston Villa,58.0,51.0
Amadou_Onana,50,65,2024-07-22,MID,Aston Villa,58.0,51.0
Ben_Broggio,45,0,,MID,Aston Villa,58.0,51.0
Leander_Dendoncker,45,0,2022-09-01,MID,Aston Villa,58.0,51.0
Jamaldeen_Jimoh_Aloba,45,0,2024-09-23,MID,Aston Villa,58.0,51.0
Kadan_Young,45,0,,MID,Aston Villa,58.0,51.0
Ollie_Watkins,90,186,2020-09-09,FWD,Aston Villa,58.0,51.0
Zepiqueno_Redmond,45,0,,FWD,Aston Villa,58.0,51.0
Max_Weiss,45,0,2025-06-25,GK,Burnley,37.7,67.16666667
Etienne_Green,40,0,2024-08-07,GK,Burnley,37.7,67.16666667
Vaclav_Hladky,40,0,2024-07-19,GK,Burnley,37.7,67.16666667
Connor_Roberts,45,0,2021-08-31,DEF,Burnley,37.7,67.16666667
Kyle_Walker,45,13,2025-07-05,DEF,Burnley,37.7,67.16666667
Hannes_Delcroix,40,0,2023-08-22,DEF,Burnley,37.7,67.16666667
Owen_Dodgson,40,0,2021-08-20,DEF,Burnley,37.7,67.16666667
Hjalmar_Ekdal,40,0,2023-01-21,DEF,Burnley,37.7,67.16666667
Maxime_Esteve,40,0,2024-06-14,DEF,Burnley,37.7,67.16666667
Quilindschy_Hartman,40,0,2025-06-26,DEF,Burnley,37.7,67.16666667
Bashir_Humphreys,40,0,2025-07-01,DEF,Burnley,37.7,67.16666667
Jordan_Beyer,40,0,2023-07-01,DEF,Burnley,37.7,67.16666667
Lucas_Pires_Silva,40,0,2024-07-16,DEF,Burnley,37.7,67.16666667
Shurandy_Sambo,40,0,2024-06-28,DEF,Burnley,37.7,67.16666667
Oliver_Sonne,40,0,2025-01-01,DEF,Burnley,37.7,67.16666667
Axel_Tuanzebe,40,27,2025-07-01,DEF,Burnley,37.7,67.16666667
Joe_Worrall,40,0,2024-08-23,DEF,Burnley,37.7,67.16666667
Jaidon_Anthony,55,0,2025-07-01,MID,Burnley,37.7,67.16666667
Manuel_Benson_Hedilazio,55,0,2022-08-04,MID,Burnley,37.7,67.16666667
Jacob_Bruun_Larsen,55,0,2025-07-11,MID,Burnley,37.7,67.16666667
Enock_Agyei,50,0,2023-01-30,MID,Burnley,37.7,67.16666667
Darko_Churlinov,50,0,2022-08-19,MID,Burnley,37.7,67.16666667
Josh_Cullen,50,0,2022-07-12,MID,Burnley,37.7,67.16666667
Marcus_Edwards,50,0,2025-07-01,MID,Burnley,37.7,67.16666667
Hannibal_Mejbri,50,0,2024-08-28,MID,Burnley,37.7,67.16666667
Luca_Koleosho,50,0,2023-07-25,MID,Burnley,37.7,67.16666667
Josh_Laurent,50,0,2024-08-30,MID,Burnley,37.7,67.16666667
Loum_Tchaouna,50,0,2025-07-02,MID,Burnley,37.7,67.16666667
Aaron_Ramsey,45,0,2023-08-22,MID,Burnley,37.7,67.16666667
Oluwaseun_Adewumi,45,0,2024-08-29,MID,Burnley,37.7,67.16666667
Jaydon_Banel,45,0,2025-02-03,MID,Burnley,37.7,67.16666667
Mike_Tresor_Ndayishimiye,45,0,2024-07-01,MID,Burnley,37.7,67.16666667
Zian_Flemming,55,0,2025-06-01,FWD,Burnley,37.7,67.16666667
Zeki_Amdouni,50,0,2023-07-19,FWD,Burnley,37.7,67.16666667
Lyle_Foster,50,0,2023-01-25,FWD,Burnley,37.7,67.16666667
Ashley_Barnes,45,0,2025-01-02,FWD,Burnley,37.7,67.16666667
Michael_Obafemi,45,0,2023-07-01,FWD,Burnley,37.7,67.16666667
Norberto_Murara_Neto,45,7,2022-08-07,GK,Bournemouth,58.0,46.0
Dorde_Petrovic,45,0,2025-07-16,GK,Bournemouth,58.0,46.0
Will_Dennis,40,0,2019-08-01,GK,Bournemouth,58.0,46.0
Callan_McKenna,40,0,2024-02-01,GK,Bournemouth,58.0,46.0
Alex_Paulsen,40,0,2024-07-01,GK,Bournemouth,58.0,46.0
Illia_Zabarnyi,50,94,2023-01-31,DEF,Bournemouth,58.0,46.0
Marcos_Senesi_Baron,45,31,2022-08-08,DEF,Bournemouth,58.0,46.0
Adam_Smith,45,57,2014-01-28,DEF,Bournemouth,58.0,46.0
Adrien_Truffert,45,0,2025-06-16,DEF,Bournemouth,58.0,46.0
Matai_Akinmboni,40,0,2025-01-03,DEF,Bournemouth,58.0,46.0
Owen_Bevan,40,0,2022-08-22,DEF,Bournemouth,58.0,46.0
James_Hill,40,17,2022-01-05,DEF,Bournemouth,58.0,46.0
Julian_Araujo_Zuniga,40,12,2024-08-13,DEF,Bournemouth,58.0,46.0
Chris_Mepham,40,0,2019-01-22,DEF,Bournemouth,58.0,46.0
Julio_Soler_Barreto,40,3,2025-01-07,DEF,Bournemouth,58.0,46.0
Justin_Kluivert,70,158,2023-07-01,MID,Bournemouth,58.0,46.0
Antoine_Semenyo,70,165,2023-01-27,MID,Bournemouth,58.0,46.0
Dango_Ouattara,60,111,2023-01-19,MID,Bournemouth,58.0,46.0
Marcus_Tavernier,55,87,2022-08-01,MID,Bournemouth,58.0,46.0
Tyler_Adams,50,58,2023-08-20,MID,Bournemouth,58.0,46.0
David_Brooks,50,52,2018-07-01,MID,Bournemouth,58.0,46.0
Ryan_Christie,50,76,2021-08-31,MID,Bournemouth,58.0,46.0
Lewis_Cook,50,82,2016-07-08,MID,Bournemouth,58.0,46.0
Philip_Billing,50,10,2019-07-29,MID,Bournemouth,58.0,46.0
Alex_Scott,50,26,2023-08-10,MID,Bournemouth,58.0,46.0
Luis_Sinisterra_Lucumi,50,23,2024-06-14,MID,Bournemouth,58.0,46.0
Romain_Faivre,45,0,2023-07-13,MID,Bournemouth,58.0,46.0
Hamed_Traore,45,0,2023-07-01,MID,Bournemouth,58.0,46.0
Dominic_Sadi,45,0,,MID,Bournemouth,58.0,46.0
Zain_Silcott_Duberry,45,1,2025-01-17,MID,Bournemouth,58.0,46.0
Ben_Winterburn,45,4,2024-11-29,MID,Bournemouth,58.0,46.0
Francisco_Evanilson_de_Lima_Barbosa,70,128,2024-08-16,FWD,Bournemouth,58.0,46.0
Enes_Unal,55,32,2024-07-01,FWD,Bournemouth,58.0,46.0
Daniel_Adu_Adjei,45,0,2022-12-19,FWD,Bournemouth,58.0,46.0
Eli_Junior_Kroupi,45,0,2025-02-02,FWD,Bournemouth,58.0,46.0
Caoimhin_Kelleher,45,45,2025-06-03,GK,Brentford,66.0,57.0
Ellery_Balcombe,40,0,2016-11-02,GK,Brentford,66.0,57.0
Matthew_Cox,40,0,2021-10-26,GK,Brentford,66.0,57.0
Julian_Eyestone,40,0,,GK,Brentford,66.0,57.0
Hakon_Rafn_Valdimarsson,40,2,2024-01-26,GK,Brentford,66.0,57.0
Nathan_Collins,50,127,2023-07-04,DEF,Brentford,66.0,57.0
Keane_Lewis_Potter,50,94,2022-07-12,DEF,Brentford,66.0,57.0
Kristoffer_Ajer,45,39,2021-07-21,DEF,Brentford,66.0,57.0
Rico_Henry,45,4,2016-08-31,DEF,Brentford,66.0,57.0
Michael_Kayode,45,27,2025-07-01,DEF,Brentford,66.0,57.0
Ethan_Pinnock,45,47,2019-07-02,DEF,Brentford,66.0,57.0
Mads_Roerslev_Rasmussen,45,36,2019-10-27,DEF,Brentford,66.0,57.0
Sepp_van_den_Berg,45,62,2024-08-22,DEF,Brentford,66.0,57.0
Benjamin_Arthur,40,0,2024-03-08,DEF,Brentford,66.0,57.0
Benjamin_Fredrick,40,0,,DEF,Brentford,66.0,57.0
Aaron_Hickey,40,0,2022-07-09,DEF,Brentford,66.0,57.0
Kim_Ji_soo,40,3,2023-07-20,DEF,Brentford,66.0,57.0
Jayden_Meghoma,40,1,2024-08-30,DEF,Brentford,66.0,57.0
Kevin_Schade,70,149,2023-07-01,MID,Brentford,66.0,57.0
Mikkel_Damsgaard,60,131,2022-08-10,MID,Brentford,66.0,57.0
Antoni_Milambo,55,0,2025-07-03,MID,Brentford,66.0,57.0
Fabio_Freitas_Gouveia_Carvalho,50,35,2024-08-12,MID,Brentford,66.0,57.0
Jordan_Henderson,50,0,2025-07-15,MID,Brentford,66.0,57.0
Vitaly_Janelt,50,73,2020-10-03,MID,Brentford,66.0,57.0
Mathias_Jensen,50,38,2019-07-10,MID,Brentford,66.0,57.0
Gustavo_Nunes_Fernandes_Gomes,50,3,2024-08-28,MID,Brentford,66.0,57.0
Frank_Onyeka,50,2,2021-07-20,MID,Brentford,66.0,57.0
Yehor_Yarmoliuk,50,43,2022-10-28,MID,Brentford,66.0,57.0
Romelle_Donovan,45,0,2025-07-01,MID,Brentford,66.0,57.0
Yunus_Emre_Konak,45,10,2024-01-11,MID,Brentford,66.0,57.0
Paris_Maghoma,45,8,2020-08-01,MID,Brentford,66.0,57.0
Myles_Peart_Harris,45,0,2021-07-23,MID,Brentford,66.0,57.0
Ryan_Trevitt,45,1,2024-01-08,MID,Brentford,66.0,57.0
Yoane_Wissa,75,185,2021-08-10,FWD,Brentford,66.0,57.0
Igor_Thiago_Nascimento_Rodrigues,60,9,2024-07-01,FWD,Brentford,66.0,57.0
Iwan_Morgan,45,0,,FWD,Brentford,66.0,57.0
Jason_Steele,45,9,2018-07-01,GK,Brighton,66.0,59.0
Bart_Verbruggen,45,103,2023-07-03,GK,Brighton,66.0,59.0
Tom_McGill,40,0,2021-02-02,GK,Brighton,66.0,59.0
Carl_Rushworth,40,0,2023-07-01,GK,Brighton,66.0,59.0
Kjell_Scherpen,40,0,2021-07-16,GK,Brighton,66.0,59.0
Olivier_Boscagli,45,0,2025-07-02,DEF,Brighton,66.0,59.0
Diego_Coppola,45,0,2025-06-17,DEF,Brighton,66.0,59.0
Maxim_De_Cuyper,45,0,2025-07-05,DEF,Brighton,66.0,59.0
Lewis_Dunk,45,44,2009-07-01,DEF,Brighton,66.0,59.0
Pervis_Estupinan_Tenorio,45,63,2022-07-16,DEF,Brighton,66.0,59.0
Ferdi_Kadioglu,45,19,2024-08-27,DEF,Brighton,66.0,59.0
Igor_Julio_dos_Santos_de_Paulo,45,18,2023-07-26,DEF,Brighton,66.0,59.0
Tariq_Lamptey,45,42,2020-01-31,DEF,Brighton,66.0,59.0
Jan_Paul_van_Hecke,45,87,2020-09-10,DEF,Brighton,66.0,59.0
Joel_Veltman,45,59,2020-07-29,DEF,Brighton,66.0,59.0
Adam_Webster,45,39,2019-08-03,DEF,Brighton,66.0,59.0
Eiran_Cashin,40,1,2025-01-31,DEF,Brighton,66.0,59.0
Jacob_Slater,40,0,,DEF,Brighton,66.0,59.0
Charlie_Tasker,40,0,,DEF,Brighton,66.0,59.0
Mitoma_Kaoru,65,145,2021-08-09,MID,Brighton,66.0,59.0
Georginio_Rutter,60,95,2024-08-19,MID,Brighton,66.0,59.0
Solly_March,60,7,2012-07-01,MID,Brighton,66.0,59.0
Yankuba_Minteh,60,102,2024-07-01,MID,Brighton,66.0,59.0
Julio_Enciso_Espinola,55,59,2022-06-17,MID,Brighton,66.0,59.0
Brajan_Gruda,55,45,2024-08-14,MID,Brighton,66.0,59.0
Jack_Hinshelwood,55,89,2022-12-30,MID,Brighton,66.0,59.0
Matt_O'Riley,55,50,2024-08-26,MID,Brighton,66.0,59.0
Abdallah_Sima,55,0,2021-08-30,MID,Brighton,66.0,59.0
Yasin_Ayari,50,74,2023-01-30,MID,Brighton,66.0,59.0
Carlos_Baleba,50,87,2023-08-29,MID,Brighton,66.0,59.0
Facundo_Buonanotte,50,75,2023-01-01,MID,Brighton,66.0,59.0
Diego_Gomez_Amarilla,50,30,2025-01-01,MID,Brighton,66.0,59.0
James_Milner,50,6,2023-07-01,MID,Brighton,66.0,59.0
Jeremy_Sarmiento_Morante,50,1,2021-09-21,MID,Brighton,66.0,59.0
Tom_Watson,50,0,2025-06-01,MID,Brighton,66.0,59.0
Mats_Wieffer,50,52,2024-07-06,MID,Brighton,66.0,59.0
Malick_Yalcouye,50,0,2024-07-12,MID,Brighton,66.0,59.0
Joe_Knight,45,0,,MID,Brighton,66.0,59.0
Adrian_Mazilu,45,0,,MID,Brighton,66.0,59.0
Andrew_Moran,45,0,2021-08-23,MID,Brighton,66.0,59.0
Danny_Welbeck,65,125,2020-10-18,FWD,Brighton,66.0,59.0
Evan_Ferguson,55,28,2021-08-23,FWD,Brighton,66.0,59.0
Stefanos_Tzimas,55,0,2025-02-03,FWD,Brighton,66.0,59.0
Charalampos_Kostoulas,50,0,2025-07-01,FWD,Brighton,66.0,59.0
Robert_Lynch_Sanchez,50,126,2023-08-05,GK,Chelsea,64.0,43.0
Filip_Jorgensen,45,18,2024-07-30,GK,Chelsea,64.0,43.0
Mike_Penders,40,0,2024-08-27,GK,Chelsea,64.0,43.0
